iter	Passed	Remaining
0	143	143257
1	145	72782
2	148	49224
3	150	37380
4	152	30255
5	154	25537
6	156	22147
7	158	19615
8	160	17644
9	162	16066
10	164	14788
11	166	13721
12	168	12824
13	170	12038
14	172	11356
15	174	10758
16	176	10233
17	178	9758
18	180	9339
19	183	8970
20	185	8637
21	187	8331
22	189	8052
23	191	7802
24	194	7567
25	196	7355
26	198	7158
27	200	6965
28	202	6788
29	205	6631
30	207	6472
31	209	6323
32	211	6192
33	213	6070
34	215	5950
35	217	5835
36	220	5726
37	222	5622
38	224	5529
39	226	5434
40	229	5361
41	231	5274
42	233	5194
43	235	5117
44	237	5041
45	239	4976
46	242	4907
47	244	4846
48	246	4781
49	248	4719
50	250	4662
51	252	4606
52	255	4557
53	257	4505
54	259	4456
55	261	4404
56	263	4356
57	265	4314
58	267	4268
59	269	4226
60	272	4191
61	274	4150
62	276	4112
63	278	4073
64	280	4036
65	282	4000
66	284	3964
67	286	3930
68	288	3896
69	290	3864
70	292	3832
71	295	3803
72	297	3773
73	299	3746
74	301	3718
75	303	3692
76	305	3667
77	308	3641
78	309	3613
79	311	3587
80	313	3562
81	316	3538
82	317	3503
83	319	3482
84	321	3458
85	323	3435
86	325	3413
87	327	3392
88	329	3371
89	331	3352
90	333	3333
91	335	3312
92	337	3296
93	339	3275
94	341	3255
95	343	3236
96	345	3220
97	348	3205
98	350	3189
99	352	3172
100	354	3154
101	356	3137
102	358	3122
103	360	3108
104	362	3093
105	365	3078
106	367	3070
107	370	3056
108	372	3044
109	375	3034
110	377	3024
111	380	3015
112	382	3003
113	384	2990
114	386	2976
115	389	2964
116	390	2948
117	392	2935
118	394	2923
119	397	2911
120	399	2899
121	400	2885
122	403	2874
123	405	2862
124	407	2853
125	410	2844
126	411	2831
127	414	2820
128	416	2809
129	418	2797
130	420	2787
131	422	2776
132	424	2766
133	426	2759
134	429	2750
135	431	2739
136	433	2728
137	435	2718
138	437	2709
139	439	2698
140	441	2690
141	443	2676
142	445	2667
143	447	2658
144	449	2648
145	451	2640
146	453	2631
147	455	2624
148	458	2617
149	460	2608
150	462	2600
151	464	2592
152	467	2586
153	469	2578
154	471	2572
155	474	2565
156	476	2557
157	478	2550
158	480	2542
159	482	2534
160	484	2522
161	486	2514
162	488	2506
163	490	2498
164	492	2491
165	494	2483
166	496	2475
167	498	2468
168	500	2462
169	503	2456
170	505	2450
171	507	2444
172	510	2441
173	512	2434
174	514	2426
175	517	2420
176	518	2412
177	520	2404
178	522	2398
179	524	2391
180	526	2384
181	529	2377
182	531	2372
183	533	2365
184	535	2359
185	537	2352
186	539	2346
187	541	2339
188	543	2333
189	545	2327
190	548	2322
191	550	2315
192	552	2309
193	554	2303
194	556	2297
195	558	2291
196	560	2284
197	562	2278
198	564	2272
199	566	2266
200	568	2261
201	570	2254
202	572	2249
203	575	2243
204	577	2237
205	579	2232
206	581	2226
207	583	2220
208	585	2216
209	587	2211
210	589	2205
211	591	2199
212	594	2195
213	596	2189
214	597	2183
215	599	2177
216	601	2171
217	603	2166
218	606	2161
219	608	2157
220	610	2151
221	612	2146
222	614	2141
223	616	2136
224	618	2131
225	620	2125
226	622	2120
227	624	2115
228	626	2110
229	628	2104
230	630	2099
231	632	2094
232	634	2088
233	636	2083
234	638	2079
235	641	2075
236	643	2070
237	645	2065
238	647	2060
239	649	2055
240	651	2051
241	653	2047
242	655	2042
243	657	2037
244	659	2032
245	661	2027
246	663	2021
247	665	2016
248	667	2012
249	669	2008
250	671	2003
251	673	1999
252	675	1994
253	677	1989
254	679	1984
255	681	1980
256	683	1976
257	685	1971
258	687	1967
259	689	1963
260	691	1958
261	693	1954
262	696	1951
263	698	1947
264	700	1942
265	702	1937
266	704	1933
267	706	1929
268	708	1925
269	710	1920
270	712	1916
271	714	1911
272	716	1907
273	718	1903
274	720	1899
275	722	1895
276	724	1891
277	726	1886
278	728	1883
279	730	1878
280	732	1874
281	734	1869
282	736	1865
283	738	1861
284	740	1857
285	742	1853
286	744	1849
287	746	1845
288	748	1841
289	750	1837
290	752	1834
291	755	1830
292	757	1827
293	759	1823
294	761	1820
295	763	1816
296	765	1812
297	767	1808
298	769	1804
299	771	1800
300	773	1796
301	775	1792
302	777	1788
303	779	1784
304	781	1780
305	783	1776
306	785	1772
307	786	1767
308	788	1764
309	791	1760
310	793	1757
311	795	1753
312	797	1750
313	799	1746
314	801	1742
315	803	1738
316	805	1735
317	807	1731
318	809	1728
319	811	1724
320	813	1721
321	815	1718
322	817	1714
323	820	1711
324	822	1708
325	824	1704
326	826	1700
327	828	1697
328	830	1694
329	832	1690
330	834	1687
331	836	1683
332	838	1680
333	840	1676
334	842	1673
335	844	1669
336	846	1666
337	848	1662
338	851	1659
339	853	1656
340	855	1652
341	857	1649
342	859	1646
343	861	1642
344	863	1639
345	865	1636
346	867	1632
347	869	1629
348	871	1625
349	873	1622
350	875	1619
351	878	1616
352	880	1613
353	882	1610
354	884	1606
355	886	1603
356	888	1599
357	892	1599
358	897	1602
359	899	1598
360	901	1595
361	903	1592
362	906	1590
363	910	1590
364	912	1587
365	914	1583
366	916	1580
367	918	1577
368	923	1579
369	925	1576
370	927	1572
371	929	1569
372	931	1566
373	934	1563
374	935	1559
375	937	1556
376	939	1553
377	942	1550
378	944	1547
379	946	1543
380	948	1540
381	950	1537
382	952	1534
383	954	1530
384	956	1527
385	958	1524
386	959	1520
387	961	1516
388	963	1513
389	965	1510
390	967	1507
391	969	1504
392	971	1501
393	974	1498
394	975	1494
395	977	1491
396	979	1488
397	981	1485
398	984	1482
399	986	1479
400	988	1476
401	990	1473
402	992	1470
403	994	1467
404	996	1464
405	998	1461
406	1001	1458
407	1003	1456
408	1005	1453
409	1008	1450
410	1010	1447
411	1012	1445
412	1014	1442
413	1016	1439
414	1019	1436
415	1021	1433
416	1023	1430
417	1025	1427
418	1027	1424
419	1029	1421
420	1031	1418
421	1033	1415
422	1035	1412
423	1037	1409
424	1039	1406
425	1041	1403
426	1043	1400
427	1045	1397
428	1048	1395
429	1050	1392
430	1052	1389
431	1054	1386
432	1056	1383
433	1058	1380
434	1060	1377
435	1062	1374
436	1065	1372
437	1067	1369
438	1069	1366
439	1071	1363
440	1073	1360
441	1075	1357
442	1077	1354
443	1079	1352
444	1081	1349
445	1083	1346
446	1085	1343
447	1087	1340
448	1089	1337
449	1092	1334
450	1094	1332
451	1096	1329
452	1098	1326
453	1100	1323
454	1102	1320
455	1104	1318
456	1106	1315
457	1109	1312
458	1111	1309
459	1113	1306
460	1115	1304
461	1117	1301
462	1120	1299
463	1122	1296
464	1125	1294
465	1127	1291
466	1129	1288
467	1131	1286
468	1133	1283
469	1135	1280
470	1137	1277
471	1139	1275
472	1142	1272
473	1144	1269
474	1146	1266
475	1148	1264
476	1150	1261
477	1152	1258
478	1154	1255
479	1156	1253
480	1159	1250
481	1161	1248
482	1163	1245
483	1165	1242
484	1167	1240
485	1170	1237
486	1173	1235
487	1175	1233
488	1177	1230
489	1179	1227
490	1181	1224
491	1183	1221
492	1185	1219
493	1187	1216
494	1189	1213
495	1191	1210
496	1193	1207
497	1195	1204
498	1197	1202
499	1199	1199
500	1201	1196
501	1203	1194
502	1205	1191
503	1207	1188
504	1209	1185
505	1211	1182
506	1213	1180
507	1215	1177
508	1217	1174
509	1219	1172
510	1221	1169
511	1223	1166
512	1225	1163
513	1227	1160
514	1230	1158
515	1232	1155
516	1233	1152
517	1235	1149
518	1237	1146
519	1239	1144
520	1241	1141
521	1243	1138
522	1246	1136
523	1248	1133
524	1250	1131
525	1252	1128
526	1254	1126
527	1256	1123
528	1258	1120
529	1260	1118
530	1262	1115
531	1264	1112
532	1266	1109
533	1268	1107
534	1270	1104
535	1272	1101
536	1275	1100
537	1277	1097
538	1279	1094
539	1281	1091
540	1283	1088
541	1287	1088
542	1291	1086
543	1293	1084
544	1295	1081
545	1298	1079
546	1300	1076
547	1302	1074
548	1304	1071
549	1306	1069
550	1308	1066
551	1310	1063
552	1312	1060
553	1314	1058
554	1316	1055
555	1318	1053
556	1320	1050
557	1322	1047
558	1326	1046
559	1328	1043
560	1330	1041
561	1332	1038
562	1334	1036
563	1336	1033
564	1338	1030
565	1340	1027
566	1343	1025
567	1345	1023
568	1347	1020
569	1349	1017
570	1351	1015
571	1353	1012
572	1355	1009
573	1357	1007
574	1359	1004
575	1361	1002
576	1363	999
577	1365	997
578	1368	994
579	1369	991
580	1372	989
581	1374	987
582	1376	984
583	1378	981
584	1380	979
585	1382	976
586	1385	975
587	1387	972
588	1389	969
589	1391	967
590	1393	964
591	1395	962
592	1398	960
593	1400	957
594	1402	954
595	1405	952
596	1407	949
597	1409	947
598	1412	945
599	1414	942
600	1416	940
601	1418	937
602	1419	934
603	1421	932
604	1424	929
605	1426	927
606	1428	924
607	1430	922
608	1432	919
609	1434	916
610	1436	914
611	1438	912
612	1440	909
613	1442	907
614	1444	904
615	1446	901
616	1448	899
617	1451	897
618	1453	894
619	1455	891
620	1457	889
621	1459	886
622	1461	884
623	1463	881
624	1465	879
625	1467	876
626	1469	874
627	1471	871
628	1473	869
629	1475	866
630	1477	864
631	1479	861
632	1481	859
633	1483	856
634	1485	853
635	1488	851
636	1491	849
637	1493	847
638	1495	844
639	1497	842
640	1499	839
641	1501	837
642	1503	834
643	1506	832
644	1508	830
645	1510	827
646	1512	824
647	1514	822
648	1515	819
649	1517	817
650	1519	814
651	1522	812
652	1524	809
653	1526	807
654	1528	804
